Header found at row 0

Columns:
['Référentiel Oncologique — Types de Cancer, Codes CIM-10 & Spécialités Médicales', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10']

First 100 rows:
             Référentiel Oncologique — Types de Cancer, Codes CIM-10 & Spécialités Médicales                Unnamed: 1                                  Unnamed: 2   Unnamed: 3        Unnamed: 4                   Unnamed: 5                               Unnamed: 6                                                           Unnamed: 7                                Unnamed: 8                                 Unnamed: 9                                               Unnamed: 10
10                                                                                         8          Cancer du Rectum                       Adénocarcinome rectal          C20             H > F                    55–75 ans                       Oncologue digestif         Radiothérapeute (radio-chimio néoadjuvante), Stomathérapeute           Chirurgien colorectal / pelvien              Sous-type colorectal fréquent                       Radio-chimio préopératoire standard
11                                                                                         9     Cancer de la Prostate                  Adénocarcinome prostatique          C61      H uniquement                    60–80 ans     Oncologue urologique / uro-oncologue                    Radiothérapeute, Endocrinologue (hormonothérapie)                       Chirurgien urologue      1er cancer masculin (pays développés)              PSA = marqueur clé ; évolution souvent lente
12                                                                                        10    Cancer Col de l'Utérus                       Carcinome épidermoïde        C53.9      F uniquement                    30–55 ans                    Gynécologue oncologue                                     Radiothérapeute, Curiethérapeute                    Chirurgien gynécologue                  4e cancer féminin mondial                     Lié HPV ; vaccin préventif disponible
13                                                                                        11        Cancer de l'Utérus                       Carcinome endométrial        C54.1      F uniquement                    55–70 ans                    Gynécologue oncologue                                      Radiothérapeute, Endocrinologue                    Chirurgien gynécologue                 Fréquent en post-ménopause                        Obésité = facteur de risque majeur
14                                                                                        12        Cancer de l'Ovaire                Carcinome épithélial ovarien          C56      F uniquement                    50–75 ans                    Gynécologue oncologue                                   Hépatologue, Chirurgien péritonéal          Chirurgien gynécologue oncologue          5e cause décès féminin par cancer                  Diagnostic souvent tardif (stade III–IV)
15                                                                                        13            Cancer du Foie            Carcinome hépatocellulaire (CHC)        C22.0          H 3x > F                    50–70 ans    Oncologue digestif / hépatologue onco           Radiothérapeute, Radiologue interventionnel (embolisation)                Chirurgien hépato-biliaire                          6e cancer mondial              Hépatite B/C + cirrhose = causes principales
16                                                                                        14       Cancer de l'Estomac                    Adénocarcinome gastrique        C16.9             H > F                    60–80 ans                       Oncologue digestif                               Endoscopiste, Nutritionniste oncologue        Chirurgien digestif (gastrectomie)                    Fréquent Asie / Algérie                   H. pylori = facteur de risque principal
17                                                                                        15        Cancer du Pancréas                 Adénocarcinome pancréatique        C25.9             H = F                    60–80 ans                       Oncologue digestif                 Gastro-entérologue, Endocrinologue (diabète associé)             Chirurgien digestif (Whipple)                     Très mauvais pronostic                  Survie à 5 ans < 12% ; symptômes tardifs
18                                                                                        16           Cancer Thyroïde                        Carcinome papillaire          C73          F 3x > H                    20–50 ans                 Endocrinologue oncologue                            Médecine nucléaire (iode radioactif), ORL   Chirurgien endocrinien (thyroïdectomie)                      1er cancer thyroïdien                Excellent pronostic (>95% survie à 10 ans)
19                                                                                        17           Cancer Thyroïde                       Carcinome anaplasique          C73             H = F                    60–80 ans                    Oncologue endocrinien                                            Radiothérapeute (urgence)                    Chirurgien endocrinien                    Rare mais très agressif                                   Survie médiane < 6 mois
20                                                                                        18       Cancer de la Vessie                        Carcinome urothélial        C67.9          H 3x > F                    60–80 ans                     Oncologue urologique               Radiothérapeute, Endoscopiste (résection endoscopique)                       Chirurgien urologue                         4e cancer masculin              Tabac + expositions pro (amines aromatiques)
21                                                                                        19            Cancer du Rein                Carcinome à cellules claires          C64          H 2x > F                    55–75 ans                     Oncologue urologique              Immunothérapeute (anti-PD1), Radiologue interventionnel        Chirurgien urologue (néphrectomie)                       Fréquence croissante                                   Lié obésité + tabagisme
22                                                                                        20                  Leucémie        Leucémie lymphoblastique aiguë (LLA)        C91.0  Garçons > Filles               2–10 ans (pic)      Oncologue pédiatrique / hématologue     Hématologue adulte (si adulte), Infectiologue (immunodépression)                     Greffe moelle osseuse        Cancer le plus fréquent de l'enfant                  Guérison >90% enfant avec chimio moderne
23                                                                                        21                  Leucémie               Leucémie myéloïde aiguë (LMA)        C92.0             H > F                    60–75 ans                    Hématologue oncologue                         Infectiologue, Réanimateur (aplasie fébrile)              Allogreffe de moelle osseuse                     Adultes principalement                   Possible chez l'enfant (moins fréquent)
24                                                                                        22                  Leucémie           Leucémie myéloïde chronique (LMC)        C92.1             H > F                    45–65 ans                    Hématologue oncologue                                 Cardiologue (effets inhibiteurs TKI)                Greffe (si résistance TKI)          Chromosome Philadelphie (BCR-ABL)  Traitement par inhibiteurs de tyrosine kinase (imatinib)
25                                                                                        23                  Leucémie          Leucémie lymphoïde chronique (LLC)        C91.1          H 2x > F                    65–80 ans                    Hématologue oncologue                                         Immunologiste, Infectiologue                 Greffe (cas sélectionnés)             Plus fréquente leucémie adulte           Rarissime avant 40 ans ; souvent asymptomatique
26                                                                                        24                  Lymphome                         Lymphome de Hodgkin        C81.9             H > F              15–35 ans + >60         Hématologue / oncologue lymphome           Radiothérapeute, Cardiologue (surveillance cardiotoxicité)                          Greffe (rechute)                    Fréquent jeunes adultes                     Excellent pronostic (80–90% guérison)
27                                                                                        25                  Lymphome  Lymphome diffus grandes cellules B (DLBCL)        C83.3             H > F                    60–75 ans         Hématologue / oncologue lymphome                                           Cardiologue, Infectiologue                     Greffe auto (rechute)               Lymphome NH le plus fréquent                                Traitement R-CHOP standard
28                                                                                        26                  Lymphome                       Lymphome folliculaire        C82.9             H = F                    55–70 ans         Hématologue / oncologue lymphome                                   Radiothérapeute (stades localisés)                   Greffe (transformation)                             2e lymphome NH      Évolution lente ; souvent incurable mais contrôlable
29                                                                                        27          Myélome Multiple                       Myélome à plasmocytes        C90.0             H > F                    65–75 ans                    Hématologue oncologue                 Néphrologue (insuffisance rénale), Rhumatologue (os)                Greffe de cellules souches                      2e hémopathie maligne                                    Très rare avant 40 ans
30                                                                                        28                  Mélanome                       Mélanome malin cutané        C43.9   H > F (adultes)                    30–60 ans                   Dermatologue oncologue             Immunothérapeute (anti-PD1/CTLA4), Chirurgien plasticien            Chirurgien oncologue (exérèse)              Incidence croissante mondiale         UV = facteur principal ; autosurveillance cutanée
31                                                                                        29               Cancer Peau                    Carcinome basocellulaire        C44.9             H > F                    55–80 ans                   Dermatologue oncologue                                      Radiothérapeute (si inopérable)                   Chirurgien dermatologue      Cancer le plus fréquent chez l'humain                       Rarement mortel ; récidives locales
32                                                                                        30               Cancer Peau                Carcinome épidermoïde cutané        C44.9             H > F                    60–80 ans                   Dermatologue oncologue                                                      Radiothérapeute                   Chirurgien dermatologue                           2e cancer cutané                UV chronique + immunodépression = facteurs
33                                                                                        31         Cancer du Cerveau                          Glioblastome (GBM)        C71.9             H > F                    55–70 ans                          Neuro-oncologue                         Neurochirurgien, Radiothérapeute, Neurologue                           Neurochirurgien    Tumeur cérébrale maligne la + fréquente                 Survie médiane ~15 mois ; protocole Stupp
34                                                                                        32         Cancer du Cerveau                             Médulloblastome        C71.6  Garçons > Filles                     3–10 ans  Oncologue pédiatrique / neuro-oncologue                   Radiothérapeute (enfant > 3 ans), Neuropsychologue               Neurochirurgien pédiatrique     Tumeur maligne la + fréquente < 15 ans                          Rare chez l'adulte mais possible
35                                                                                        33         Cancer du Cerveau                                  Méningiome        D32.9             F > H                    50–70 ans               Neuro-oncologue (si malin)       Neurochirurgien, Radiothérapeute (radio-chirurgie Gamma Knife)                           Neurochirurgien  Tumeur cérébrale la + fréquente (bénigne)                     Surveillance active si asymptomatique
36                                                                                        34          Cancer Testicule                                    Séminome        C62.9      H uniquement                    25–40 ans                     Oncologue urologique                          Radiothérapeute, Endocrinologue (fertilité)       Chirurgien urologue (orchidectomie)           Cancer le + fréquent homme jeune                       Pronostic excellent (>95% guérison)
37                                                                                        35          Cancer Testicule                         Non-séminome (TGNS)        C62.9      H uniquement                    15–35 ans                     Oncologue urologique              Pneumologue (si métastases pulmonaires), Endocrinologue                       Chirurgien urologue                       2e type testiculaire            BEP chimio standard ; fertilité possible après
38                                                                                        36             Neuroblastome                               Neuroblastome        C74.9             G = F                      0–5 ans                    Oncologue pédiatrique                   Endocrinologue pédiatrique, Radiologue pédiatrique                    Chirurgien pédiatrique                   1er cancer solide < 1 an                           Quasi-exclusivement pédiatrique
39                                                                                        37           Tumeur de Wilms                              Néphroblastome          C64             G = F                      1–5 ans      Oncologue pédiatrique / néphrologue                                          Radiothérapeute pédiatrique           Chirurgien pédiatrique urologue         Cancer du rein pédiatrique typique                    Rarissime après 15 ans ; bon pronostic
40                                                                                        38            Rétinoblastome                              Rétinoblastome        C69.2             G = F                      0–5 ans     Oncologue oculaire / ophtalmologiste                     Généticien (mutation RB1), Oncologue pédiatrique                Ophtalmologiste chirurgien           Cancer oculaire pédiatrique type                    Héréditaire 40% ; jamais chez l'adulte
41                                                                                        39            Sarcome Osseux                                Ostéosarcome        C40.9             G > F                    10–25 ans         Oncologue sarcomes / pédiatrique                                        Radiothérapeute, Rhumatologue         Chirurgien orthopédiste oncologue               Sarcome osseux le + fréquent            Pic adolescence ; chimio néoadjuvante standard
42                                                                                        40            Sarcome Osseux                             Sarcome d'Ewing        C41.9             G > F                    10–20 ans         Oncologue sarcomes / pédiatrique                                        Radiothérapeute, Rhumatologue         Chirurgien orthopédiste oncologue              2e sarcome osseux pédiatrique                                         Rare après 30 ans
43                                                                                        41       Sarcome Tissus Mous                     Sarcome des tissus mous        C49.9             H > F                    40–70 ans                       Oncologue sarcomes                   Radiothérapeute, Anatomopathologiste (sous-typage)           Chirurgien oncologue spécialisé                Rare ; multiples sous-types          Centre expert indispensable pour prise en charge
44                                                                                        42           Cancer Œsophage            Carcinome épidermoïde œsophagien        C15.9          H 3x > F                    60–75 ans                       Oncologue digestif                 Endoscopiste, Nutritionniste (dénutrition fréquente)            Chirurgien thoracique/digestif           Fréquent Afrique du Nord et Asie                      Tabac + alcool + alimentation chaude
45                                                                                        43           Cancer Œsophage                   Adénocarcinome œsophagien        C15.9             H > F                    55–75 ans                       Oncologue digestif                        Gastro-entérologue (Barrett), Radiothérapeute                     Chirurgien thoracique                  En croissance en Occident                Lié au reflux gastro-œsophagien et obésité
46                                                                                        44          Cancer du Larynx               Carcinome épidermoïde laryngé        C32.9          H 5x > F                    55–70 ans                            ORL oncologue                  Radiothérapeute, Orthophoniste (rééducation vocale)            Chirurgien ORL (laryngectomie)            Fréquent fumeurs et alcooliques                         Préservation laryngée si possible
47                                                                                        45       Cancer de la Langue               Carcinome épidermoïde lingual        C02.9             H > F                    50–70 ans             ORL oncologue / stomatologue                       Radiothérapeute, Orthophoniste, Nutritionniste           Chirurgien maxillo-facial / ORL                       Lié tabac/alcool/HPV                       Augmentation chez jeunes via HPV-16
48                                                                                        46        Cancer Nasopharynx              Carcinome du nasopharynx (NPC)        C11.9          H 2x > F                    30–55 ans                            ORL oncologue              Radiothérapeute (traitement principal), Virologue (EBV)             Chirurgien ORL (exceptionnel)         Fréquent Afrique du Nord (Algérie)           EBV = facteur étiologique ; chimiothérapie + RT
49                                                                                        47   Cancer Glande Salivaire                 Carcinome adénoïde kystique          C07             F > H                    40–60 ans                            ORL oncologue                           Radiothérapeute, Chirurgien maxillo-facial           Chirurgien ORL / maxillo-facial                                       Rare         Croissance lente ; récidives tardives (10–15 ans)
50                                                                                        48  Cancer Vésicule Biliaire                  Adénocarcinome vésiculaire          C23             F > H                    60–80 ans                       Oncologue digestif                       Gastro-entérologue, Radiologue interventionnel                Chirurgien hépato-biliaire                           Rare en Occident                     Calculs biliaires = facteur de risque
51                                                                                        49              Mésothéliome                  Mésothéliome pleural malin        C45.0             H > F                    60–80 ans  Oncologue thoracique / pneumo-oncologue                        Radiothérapeute, Médecin du travail (amiante)                     Chirurgien thoracique                     Lié exposition amiante                           Latence 30–50 ans après amiante
52                                                                                        50         Cancer Surrénales                Carcinome corticosurrénalien        C74.0             F > H  40–60 ans (A) / 0–5 ans (E)                 Endocrinologue oncologue             Oncologue pédiatrique (enfant), Généticien (Li-Fraumeni)                    Chirurgien endocrinien             Rare ; bimodal adultes/enfants                    Pic pédiatrique distinct du pic adulte
53                                                                                        51               Cancer Anal                  Carcinome épidermoïde anal        C21.1             F > H                    55–70 ans                       Oncologue digestif                Radiothérapeute (radio-chimio = traitement principal)  Chirurgien colorectal (cas réfractaires)                       Incidence croissante           HPV = cause principale ; vaccination préventive
54                                                                                        52           Cancer du Pénis                Carcinome épidermoïde pénien        C60.9      H uniquement                    60–80 ans                     Oncologue urologique                           Radiothérapeute, Chirurgien reconstructeur                       Chirurgien urologue                  Rare dans pays développés               HPV + hygiène + non-circoncision = facteurs
55                                                                                        53            Cancer Vaginal               Carcinome épidermoïde vaginal          C52      F uniquement                    60–80 ans                    Gynécologue oncologue                                     Radiothérapeute, Curiethérapeute                    Chirurgien gynécologue                                  Très rare                        Souvent secondaire à cancer du col
56                                                                                        54           Cancer Vulvaire              Carcinome épidermoïde vulvaire        C51.9      F uniquement                    65–80 ans                    Gynécologue oncologue                      Radiothérapeute, Dermatologue (lichen scléreux)                    Chirurgien gynécologue                                       Rare                           HPV ou lichen scléreux = causes
57                                                                                        55            Tumeur Pinéale                       Germinome / Pinéalome        C75.3             G > F                    10–25 ans  Neuro-oncologue / oncologue pédiatrique  Radiothérapeute, Neurochirurgien, Endocrinologue (diabète insipide)                           Neurochirurgien                                  Très rare                            Prédominance masculine marquée
58                                                                                        56         Tumeur Carcinoïde                 Tumeur neuroendocrine (TNE)        C7A.0             H = F                    50–70 ans      Oncologue digestif / endocrinologue      Médecine nucléaire (scintigraphie/DOTATATE), Gastro-entérologue                       Chirurgien digestif                       Incidence croissante        Évolution très lente ; découverte souvent fortuite
59                                                                                        57       Cancer Parathyroïde                    Carcinome parathyroïdien        C75.0             H = F                    45–65 ans                 Endocrinologue oncologue              Néphrologue (hypercalcémie), Rhumatologue (ostéoporose)                    Chirurgien endocrinien                           Extrêmement rare                     Hypercalcémie sévère = signe d'alerte
60                                                                                        58          Cancer du Thymus                Thymome / Carcinome thymique          C37             H = F                    40–60 ans                     Oncologue thoracique        Neurologue (myasthénie grave), Radiothérapeute, Immunologiste       Chirurgien thoracique (thymectomie)                                       Rare                 Associé myasthénie grave dans 30% des cas

Shape: (61, 11)
